checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,500,500,0,0,471,29,0,0.058,,0.0,,,0.058
base__none,500,500,0,0,446,54,0,0.108,,0.0,,,0.108
dpo__mistral_safety,500,500,0,0,467,33,0,0.066,,0.0,,,0.066
dpo__none,500,500,0,0,467,33,0,0.066,,0.0,,,0.066
final__mistral_safety,500,500,0,0,467,33,0,0.066,,0.0,,,0.066
final__none,500,500,0,0,467,33,0,0.066,,0.0,,,0.066
sft__mistral_safety,500,500,0,0,449,51,0,0.102,,0.0,,,0.102
sft__none,500,500,0,0,449,51,0,0.102,,0.0,,,0.102
