checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,498,250,248,147,215,35,101,0.14,0.4073,0.8077,0.5927,0.6837,0.3655
base__none,498,250,248,72,223,27,176,0.108,0.7097,0.7273,0.2903,0.415,0.1988
dpo__mistral_safety,498,250,248,103,220,30,145,0.12,0.5847,0.7744,0.4153,0.5407,0.2671
dpo__none,498,250,248,95,219,31,153,0.124,0.6169,0.754,0.3831,0.508,0.253
final__mistral_safety,498,250,248,123,213,37,125,0.148,0.504,0.7688,0.496,0.6029,0.3213
final__none,498,250,248,125,206,44,123,0.176,0.496,0.7396,0.504,0.5995,0.3394
sft__mistral_safety,498,250,248,113,214,36,135,0.144,0.5444,0.7584,0.4556,0.5693,0.2992
sft__none,498,250,248,106,224,26,142,0.104,0.5726,0.803,0.4274,0.5579,0.2651
