checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,943,471,472,411,185,286,61,0.6072,0.1292,0.5897,0.8708,0.7032,0.7391
base__none,943,471,472,190,342,129,282,0.2739,0.5975,0.5956,0.4025,0.4804,0.3383
dpo__mistral_safety,943,471,472,264,329,142,208,0.3015,0.4407,0.6502,0.5593,0.6014,0.4305
dpo__none,943,471,472,233,348,123,239,0.2611,0.5064,0.6545,0.4936,0.5628,0.3775
final__mistral_safety,943,471,472,312,297,174,160,0.3694,0.339,0.642,0.661,0.6514,0.5154
final__none,943,471,472,295,310,161,177,0.3418,0.375,0.6469,0.625,0.6358,0.4836
sft__mistral_safety,943,471,472,333,307,164,139,0.3482,0.2945,0.67,0.7055,0.6873,0.527
sft__none,943,471,472,329,295,176,143,0.3737,0.303,0.6515,0.697,0.6735,0.5355
