checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,500,500,0,0,411,89,0,0.178,,0.0,,,0.178
base__none,500,500,0,0,470,30,0,0.06,,0.0,,,0.06
dpo__mistral_safety,500,500,0,0,455,45,0,0.09,,0.0,,,0.09
dpo__none,500,500,0,0,463,37,0,0.074,,0.0,,,0.074
final__mistral_safety,500,500,0,0,447,53,0,0.106,,0.0,,,0.106
final__none,500,500,0,0,446,54,0,0.108,,0.0,,,0.108
sft__mistral_safety,500,500,0,0,445,55,0,0.11,,0.0,,,0.11
sft__none,500,500,0,0,448,52,0,0.104,,0.0,,,0.104
