checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,2758,1721,1037,797,1135,586,240,0.3405,0.2314,0.5763,0.7686,0.6587,0.5015
base__none,2758,1721,1037,384,1513,208,653,0.1209,0.6297,0.6486,0.3703,0.4715,0.2146
dpo__mistral_safety,2758,1721,1037,564,1444,277,473,0.161,0.4561,0.6706,0.5439,0.6006,0.3049
dpo__none,2758,1721,1037,476,1482,239,561,0.1389,0.541,0.6657,0.459,0.5434,0.2592
final__mistral_safety,2758,1721,1037,647,1380,341,390,0.1981,0.3761,0.6549,0.6239,0.639,0.3582
final__none,2758,1721,1037,634,1395,326,403,0.1894,0.3886,0.6604,0.6114,0.635,0.3481
sft__mistral_safety,2758,1721,1037,660,1357,364,377,0.2115,0.3635,0.6445,0.6365,0.6405,0.3713
sft__none,2758,1721,1037,626,1370,351,411,0.204,0.3963,0.6407,0.6037,0.6216,0.3542
