checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,2758,1721,1037,794,1153,568,243,0.33,0.2343,0.583,0.7657,0.6619,0.4938
base__none,2758,1721,1037,359,1542,179,678,0.104,0.6538,0.6673,0.3462,0.4559,0.1951
dpo__mistral_safety,2758,1721,1037,688,1435,286,349,0.1662,0.3365,0.7064,0.6635,0.6842,0.3532
dpo__none,2758,1721,1037,676,1434,287,361,0.1668,0.3481,0.702,0.6519,0.676,0.3492
final__mistral_safety,2758,1721,1037,711,1444,277,326,0.161,0.3144,0.7196,0.6856,0.7022,0.3582
final__none,2758,1721,1037,686,1419,302,351,0.1755,0.3385,0.6943,0.6615,0.6775,0.3582
sft__mistral_safety,2758,1721,1037,812,1178,543,225,0.3155,0.217,0.5993,0.783,0.6789,0.4913
sft__none,2758,1721,1037,772,1183,538,265,0.3126,0.2555,0.5893,0.7445,0.6579,0.475
